,Fish_ID,Beas_population_code,Population_old_code,Harvested,Head.time.moving,Head.total.time,Head.raw.speed,Head.speed.moving,Head.time.stationary,Trial,Treatment,Normalized_Time.moving,FSR,FastestFSR,Status,FastestStatus,Aquarium,Acclimation,Sex,Weight_start,Weight_end,Length_start,Length_end,SGR,Weight_resp,SGR_length,MMR_mghg,SMR_mghg,MMR_scaled,SMR_scaled,AS,Harvest2,Length2,FastestFSR2
1,9mb,3,1,Large,408.0333333,865.6,5.870819965,8.243831715,457.5666667,1,Recovery,0.471387862,39,39,1,1,9,Normoxia acclimated,M,0.11,0.12,17,18,0.15,0.12,0.1,NA,NA,NA,NA,NA,Negative,17,6
2,2fb,1,1,Small,359.5,865.6,5.26355333,7.119776758,506.1,1,Normoxia,0.415318854,5,5,1,1,2,Normoxia acclimated,F,0.17,0.72,19,30,2.49,0.44,0.79,1.306,0.253,0.408,0.084,0.324,Positive,19,5
3,3ml,8,3,Random,341.7,865.6,5.133508735,8.150644009,523.9,1,Recovery,0.394755083,6,6,1,1,3,Hypoxia acclimated,M,0.12,0.12,17.5,18,0,0.11,0.05,NA,NA,NA,NA,NA,Random,18,6
4,2fb,1,1,Small,325.6666667,865.6,5.275870337,7.921698295,539.9333333,1,Recovery,0.376232286,7,6,1,1,2,Normoxia acclimated,F,0.17,0.72,19,30,2.49,0.44,0.79,NA,NA,NA,NA,NA,Positive,19,6
5,1fp,8,3,Random,314.3,865.6,4.891806776,7.650379438,551.3,1,Recovery,0.363100739,NA,8,0,1,1,Hypoxia acclimated,F,0.19,0.2,20.5,21.5,0.09,0.19,0.08,NA,NA,NA,NA,NA,Random,20,8
6,3mg,5,2,Random,307.4,865.6,4.708749124,7.462337259,558.2,1,Normoxia,0.35512939,6,33,1,1,3,Hypoxia acclimated,M,0.11,0.12,18,18,0.15,0.12,0,0.798,0.548,0.208,0.125,0.083,Random,18,5
7,4mg,5,2,Random,300.7333333,865.6,4.682738388,6.720618102,564.8666667,2,Normoxia,0.347427603,6,5,1,1,4,Normoxia acclimated,M,0.1,0.12,16.5,17,0.31,0.11,0.05,0.928,0.592,0.239,0.131,0.108,Random,16,5
8,3ml,8,3,Random,296.6,865.6,4.694477989,7.126279468,569,1,Hypoxia,0.342652495,5,5,1,1,3,Hypoxia acclimated,M,0.12,0.12,17.5,18,0,0.11,0.05,0.755,0.292,0.194,0.065,0.129,Random,18,5
9,4mg,5,2,Random,295.9333333,865.6,4.846983513,7.356413428,569.6666667,1,Normoxia,0.341882317,5,5,1,1,4,Normoxia acclimated,M,0.1,0.12,16.5,17,0.31,0.11,0.05,0.928,0.592,0.239,0.131,0.108,Random,16,5
10,2fg,6,2,Small,284.2,865.6,4.676162714,7.940177306,581.4,1,Recovery,0.328327172,47,47,1,1,2,Normoxia acclimated,F,0.12,0.34,18.5,23,1.8,0.25,0.38,NA,NA,NA,NA,NA,Positive,18,47
11,3fp,8,3,Random,261.2333333,865.6,4.381698653,7.791920874,604.3666667,1,Normoxia,0.301794516,5,5,1,1,3,Hypoxia acclimated,F,0.18,0.25,20.5,23,0.57,0.29,0.2,1.215,0.291,0.358,0.086,0.272,Random,20,5
12,5mg,6,2,Small,261.2333333,865.6,4.525007581,7.495224641,604.3666667,1,Normoxia,0.301794516,NA,38,0,1,5,Hypoxia acclimated,M,0.08,0.09,15,15.5,0.2,0.09,0.06,0.806,0.532,0.202,0.111,0.091,Positive,15,38
13,4mg,5,2,Random,260.5666667,865.6,4.592876107,6.979013433,605.0333333,1,Recovery,0.301024338,5,5,1,1,4,Normoxia acclimated,M,0.1,0.12,16.5,17,0.31,0.11,0.05,NA,NA,NA,NA,NA,Random,16,5
14,2ml,6,2,Small,258.5333333,865.6,4.629866114,7.541754205,607.0666667,1,Normoxia,0.298675293,7,37,1,1,2,Normoxia acclimated,M,0.09,0.1,15.5,17.5,0.18,0.14,0.21,0.78,0.224,0.208,0.053,0.155,Positive,16,7
15,5mb,1,1,Small,256.9333333,865.6,4.448726959,7.483765246,608.6666667,1,Recovery,0.296826864,6,5,1,1,5,Hypoxia acclimated,M,0.07,0.08,12.5,16,0.23,0.09,0.43,NA,NA,NA,NA,NA,Positive,12,5
16,3mg,5,2,Random,249.6,865.6,4.43493256,8.030259835,616,1,Hypoxia,0.288354898,58,35,1,1,3,Hypoxia acclimated,M,0.11,0.12,18,18,0.15,0.12,0,0.341,0.442,0.089,0.101,-0.012,Random,18,35
17,2fb,1,1,Small,242.5666667,865.6,4.391717375,7.063180673,623.0333333,1,Hypoxia,0.280229513,7,6,1,1,2,Normoxia acclimated,F,0.17,0.72,19,30,2.49,0.44,0.79,0.642,0.167,0.201,0.055,0.146,Positive,19,6
18,6mg,6,2,Small,231.1666667,865.6,4.139208583,8.324573239,634.4333333,1,Normoxia,0.267059458,5,5,1,1,6,Normoxia acclimated,M,0.1,0.11,16,17,0.16,0.06,0.1,1.164,0.358,0.275,0.067,0.208,Positive,16,5
19,2ml,6,2,Small,229.0333333,865.6,3.784141022,8.169852362,636.5666667,2,Normoxia,0.264594886,37,37,1,1,2,Normoxia acclimated,M,0.09,0.1,15.5,17.5,0.18,0.14,0.21,0.78,0.224,0.208,0.053,0.155,Positive,16,7
20,3ml,8,3,Random,228.2333333,865.6,4.251490859,7.685807085,637.3666667,1,Normoxia,0.263670672,6,34,1,1,3,Hypoxia acclimated,M,0.12,0.12,17.5,18,0,0.11,0.05,1.197,0.572,0.308,0.127,0.181,Random,18,4
21,3fp,8,3,Random,222.1,865.6,3.947894769,7.534254662,643.5,1,Hypoxia,0.256585028,NA,NA,0,0,3,Hypoxia acclimated,F,0.18,0.25,20.5,23,0.57,0.29,0.2,0.54,0.175,0.159,0.051,0.108,Random,20,NA
22,3fb,2,1,Random,221.1,865.6,4.393514111,7.930729254,644.5,1,Normoxia,0.25542976,5,44,1,1,3,Hypoxia acclimated,F,0.22,0.58,21.5,26.5,1.67,0.45,0.36,1.123,0.327,0.352,0.109,0.243,Random,22,5
23,6mp,9,3,Small,215.8666667,865.6,4.313155785,7.052610368,649.7333333,1,Normoxia,0.249383857,5,5,1,1,6,Normoxia acclimated,M,0.09,0.09,15.5,16,0,0.09,0.05,0.732,0.206,0.183,0.043,0.14,Positive,16,5
24,4fl,8,3,Random,212.7333333,865.6,4.505416649,7.1119173,652.8666667,1,Normoxia,0.245764017,32,32,1,1,4,Normoxia acclimated,F,0.19,0.35,20,25,1.05,0.39,0.38,0.972,0.3,0.299,0.096,0.203,Random,20,32
25,5ml,6,2,Small,212.1,865.6,4.095806746,7.095570022,653.5,3,Recovery,0.245032348,5,5,1,1,5,Hypoxia acclimated,M,0.1,0.12,16.5,18,0.31,0.12,0.15,NA,NA,NA,NA,NA,Positive,18,5
26,6mg,6,2,Small,209.9,865.6,39.18549082,47.55911491,655.7,1,Hypoxia,0.242490758,5,5,1,1,6,Normoxia acclimated,M,0.1,0.11,16,17,0.16,0.06,0.1,0.832,0.176,0.197,0.033,0.164,Positive,16,5
27,2ml,6,2,Small,206.8666667,865.6,4.095707544,6.952132275,658.7333333,1,Hypoxia,0.238986445,101,101,1,1,2,Normoxia acclimated,M,0.09,0.1,15.5,17.5,0.18,0.14,0.21,0.305,0.001,0.081,0,0.081,Positive,16,11
28,1mp,8,3,Random,205.1,865.6,4.127929867,7.386719633,660.5,1,Recovery,0.236945471,7,134,1,1,1,Hypoxia acclimated,M,0.13,0.16,19.5,19.5,0.36,0.16,0,NA,NA,NA,NA,NA,Random,20,7
29,3ml,8,3,Random,201.8333333,865.6,3.863311133,7.095698955,663.7666667,2,Normoxia,0.233171596,34,34,1,1,3,Hypoxia acclimated,M,0.12,0.12,17.5,18,0,0.11,0.05,1.197,0.572,0.308,0.127,0.181,Random,18,4
30,7fb,3,1,Large,200.9666667,865.6,3.151244086,8.362260246,664.6333333,3,Hypoxia,0.232170364,NA,6,0,1,7,Normoxia acclimated,F,0.2,0.25,20,21.5,0.38,0.21,0.12,0.876,0.119,0.247,0.032,0.215,Negative,22,6
31,4fb,2,1,Random,200.3,865.6,3.857631303,7.191282774,665.3,1,Recovery,0.231400185,NA,NA,NA,NA,4,Normoxia acclimated,F,0.16,0.52,20,26.5,2.03,0.3,0.49,NA,NA,NA,NA,NA,Random,20,NA
32,9mg,4,2,Large,196.9666667,865.6,4.067209701,7.143468243,668.6333333,1,Recovery,0.227549291,NA,4,0,1,9,Normoxia acclimated,M,0.1,0.13,17,18,0.45,0.12,0.1,NA,NA,NA,NA,NA,Negative,17,4
33,1fg,2,1,Random,196.6666667,865.6,3.494506027,7.927455961,668.9333333,2,Normoxia,0.227202711,NA,NA,NA,NA,1,Hypoxia acclimated,F,0.23,0.45,20.5,25.5,1.16,0.41,0.38,1.035,0.272,0.32,0.088,0.232,Random,20,NA
34,5mb,1,1,Small,191.4333333,865.6,3.996735618,7.264189051,674.1666667,1,Normoxia,0.221156808,14,14,1,1,5,Hypoxia acclimated,M,0.07,0.08,12.5,16,0.23,0.09,0.43,0.427,0.036,0.107,0.008,0.099,Positive,12,6
35,4mp,8,3,Random,191.3,865.6,4.083603411,6.867215077,674.3,1,Recovery,0.221002773,4,4,1,1,4,Normoxia acclimated,M,0.09,0.09,16,16,0,0.09,0,NA,NA,NA,NA,NA,Random,16,4
36,9mb,3,1,Large,189.7333333,865.6,3.658638588,8.063292002,675.8666667,1,Normoxia,0.219192853,41,41,1,1,9,Normoxia acclimated,M,0.11,0.12,17,18,0.15,0.12,0.1,1.153,0.201,0.3,0.046,0.254,Negative,17,41
37,3mb,2,1,Random,189.2333333,865.6,4.169005686,7.40914947,676.3666667,1,Normoxia,0.218615219,NA,NA,NA,NA,3,Hypoxia acclimated,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Random,NA,NA
38,2mp,9,3,Small,184.6666667,865.6,4.137424989,7.273259608,680.9333333,1,Recovery,0.213339495,NA,NA,0,0,2,Normoxia acclimated,M,0.12,0.13,17,18,0.14,0.13,0.1,NA,NA,NA,NA,NA,Positive,17,NA
39,2mb,1,1,Small,184.2666667,865.6,3.932379336,7.846841876,681.3333333,1,Normoxia,0.212877388,NA,7,0,1,2,Normoxia acclimated,M,0.05,0.07,15.5,16,0.58,0.09,0.05,0.595,0.111,0.149,0.023,0.126,Positive,16,7
40,11ml,5,2,Random,183.6,865.6,3.727436345,6.88514191,682,1,Recovery,0.212107209,NA,34,0,1,11,Normoxia acclimated,M,0.12,0.14,17,18,0.27,0.14,0.1,NA,NA,NA,NA,NA,Random,17,5
41,6fg,6,2,Small,182.7666667,865.6,4.169835711,7.16850381,682.8333333,1,Normoxia,0.211144486,24,24,1,1,6,Normoxia acclimated,F,0.11,0.45,17,25.5,2.43,0.37,0.7,0.831,0.324,0.253,0.102,0.151,Positive,17,24
42,2ml,6,2,Small,181.9333333,865.6,4.15743088,6.30253896,683.6666667,2,Hypoxia,0.210181762,NA,101,0,1,2,Normoxia acclimated,M,0.09,0.1,15.5,17.5,0.18,0.14,0.21,0.305,0.001,0.081,0,0.081,Positive,16,11
43,6mg,6,2,Small,180.4333333,865.6,3.440310829,7.999043573,685.1666667,1,Recovery,0.20844886,38,38,1,1,6,Normoxia acclimated,M,0.1,0.11,16,17,0.16,0.06,0.1,NA,NA,NA,NA,NA,Positive,16,38
44,1fl,5,2,Random,180.1666667,865.6,3.908585371,7.752591876,685.4333333,1,Recovery,0.208140789,NA,NA,0,0,1,Hypoxia acclimated,F,0.24,0.57,22.5,28.5,1.49,0.52,0.41,NA,NA,NA,NA,NA,Random,22,NA
45,6mg,6,2,Small,179.7,865.6,3.981896068,7.008998386,685.9,2,Hypoxia,0.207601664,5,5,1,1,6,Normoxia acclimated,M,0.1,0.11,16,17,0.16,0.06,0.1,0.832,0.176,0.197,0.033,0.164,Positive,16,5
46,1ml,5,2,Random,179.5666667,865.6,3.9583118,7.362392217,686.0333333,2,Normoxia,0.207447628,NA,NA,NA,NA,1,Hypoxia acclimated,M,0.13,0.14,17.5,18.5,0.13,0.12,0.1,1.214,0.505,0.316,0.115,0.201,Random,18,NA
47,3mp,8,3,Random,176.5666667,865.6,3.971522023,6.972530266,689.0333333,1,Normoxia,0.203981824,5,3,1,1,3,Hypoxia acclimated,M,0.15,0.16,18.5,19,0.11,0.16,0.05,1.162,0.4,0.315,0.099,0.216,Random,18,3
48,3ml,8,3,Random,176.4666667,865.6,3.279068863,7.023353416,689.1333333,2,Recovery,0.203866297,NA,6,0,1,3,Hypoxia acclimated,M,0.12,0.12,17.5,18,0,0.11,0.05,NA,NA,NA,NA,NA,Random,18,6
49,5fg,1,1,Small,175.2666667,865.6,3.442194803,7.063702253,690.3333333,1,Hypoxia,0.202479975,6,6,1,1,5,Hypoxia acclimated,F,0.13,0.43,18,25.5,2.06,0.4,0.6,0.525,0.158,0.162,0.051,0.111,Positive,18,6
50,5fp,9,3,Small,174.8,865.6,3.236265171,7.644480962,690.8,1,Recovery,0.20194085,31,31,1,1,5,Hypoxia acclimated,F,0.19,0.42,21,25.5,1.37,0.42,0.33,NA,NA,NA,NA,NA,Positive,21,4
51,9fg,4,2,Large,173.4,865.6,3.1516266,7.799206566,692.2,1,Recovery,0.200323475,NA,NA,NA,NA,9,Normoxia acclimated,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Negative,NA,NA
52,12mg,6,2,Small,169.9,865.6,3.476009153,7.150351258,695.7,2,Recovery,0.196280037,NA,NA,NA,NA,12,Hypoxia acclimated,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Positive,NA,NA
53,2mp,9,3,Small,169.8333333,865.6,3.767873837,7.374149731,695.7666667,1,Hypoxia,0.196203019,4,17,1,1,2,Normoxia acclimated,M,0.12,0.13,17,18,0.14,0.13,0.1,0.545,0.027,0.144,0.006,0.138,Positive,17,4
54,5mp,9,3,Small,169.2666667,865.6,3.197725327,8.607402341,696.3333333,1,Recovery,0.195548367,NA,NA,NA,NA,5,Hypoxia acclimated,M,0.11,0.12,17.5,18,0.15,0.12,0.05,NA,NA,NA,NA,NA,Positive,18,NA
55,5mg,6,2,Small,166.2,865.6,3.760084152,6.937659582,699.4,1,Recovery,0.192005545,5,18,1,1,5,Hypoxia acclimated,M,0.08,0.09,15,15.5,0.2,0.09,0.06,NA,NA,NA,NA,NA,Positive,15,5
56,9mg,4,2,Large,165.8666667,865.6,4.707372398,7.672180498,699.7333333,2,Recovery,0.191620456,4,4,1,1,9,Normoxia acclimated,M,0.1,0.13,17,18,0.45,0.12,0.1,NA,NA,NA,NA,NA,Negative,17,4
57,9ml,4,2,Large,163.2333333,865.6,3.468944904,7.004546537,702.3666667,1,Normoxia,0.18857825,NA,NA,NA,NA,9,Normoxia acclimated,M,0.12,0.13,19,18.5,0.14,0.13,-0.05,0.957,0.513,0.252,0.12,0.132,Negative,19,NA
58,6fl,9,3,Small,163,865.6,3.821377486,6.720599129,702.6,1,Normoxia,0.188308688,6,19,1,1,6,Normoxia acclimated,F,0.13,0.65,19.5,27.5,2.77,0.54,0.59,0.736,0.294,0.237,0.104,0.133,Positive,20,6
59,1ml,5,2,Random,162.3333333,865.6,3.523960624,7.374147741,703.2666667,1,Hypoxia,0.187538509,NA,NA,NA,NA,1,Hypoxia acclimated,M,0.13,0.14,17.5,18.5,0.13,0.12,0.1,1.227,0.328,0.32,0.075,0.245,Random,18,NA
60,1mb,2,1,Random,162.2666667,865.6,3.719179121,6.995966541,703.3333333,2,Normoxia,0.187461491,10,10,1,1,1,Hypoxia acclimated,M,0.1,0.12,16,18,0.31,0.11,0.2,1.097,0.533,0.282,0.118,0.164,Random,16,10
61,2fb,1,1,Small,162.0333333,865.6,3.937903076,7.21372623,703.5666667,2,Normoxia,0.187191928,5,5,1,1,2,Normoxia acclimated,F,0.17,0.72,19,30,2.49,0.44,0.79,1.306,0.253,0.408,0.084,0.324,Positive,19,5
62,5fp,9,3,Small,161.9666667,865.6,3.062733009,7.036879377,703.6333333,1,Normoxia,0.187114911,6,22,1,1,5,Hypoxia acclimated,F,0.19,0.42,21,25.5,1.37,0.42,0.33,0.8,0.15,0.248,0.049,0.199,Positive,21,6
63,2fg,6,2,Small,160.6333333,865.6,3.300792594,7.766880568,704.9666667,2,Normoxia,0.185574553,20,20,1,1,2,Normoxia acclimated,F,0.12,0.34,18.5,23,1.8,0.25,0.38,1.129,0.195,0.326,0.055,0.271,Positive,18,8
64,5mb,1,1,Small,160.1666667,865.6,3.478706283,7.058421052,705.4333333,2,Recovery,0.185035428,5,5,1,1,5,Hypoxia acclimated,M,0.07,0.08,12.5,16,0.23,0.09,0.43,NA,NA,NA,NA,NA,Positive,12,5
65,9ml,4,2,Large,159.4666667,865.6,3.894423028,6.776773121,706.1333333,2,Hypoxia,0.184226741,NA,NA,NA,NA,9,Normoxia acclimated,M,0.12,0.13,19,18.5,0.14,0.13,-0.05,0.555,0.24,0.146,0.056,0.09,Negative,19,NA
66,9ml,4,2,Large,158.8333333,865.6,3.640315593,7.045707631,706.7666667,2,Recovery,0.183495071,NA,NA,NA,NA,9,Normoxia acclimated,M,0.12,0.13,19,18.5,0.14,0.13,-0.05,NA,NA,NA,NA,NA,Negative,19,NA
67,9ml,4,2,Large,154.5,865.6,3.840678771,7.012158109,711.1,2,Normoxia,0.178488909,NA,NA,NA,NA,9,Normoxia acclimated,M,0.12,0.13,19,18.5,0.14,0.13,-0.05,0.957,0.513,0.252,0.12,0.132,Negative,19,NA
68,5fb,1,1,Small,154.1,865.6,13.12237887,16.17141841,711.5,1,Recovery,0.178026802,6,5,1,1,5,Hypoxia acclimated,F,0.18,0.23,20,22.5,0.42,0.32,0.2,NA,NA,NA,NA,NA,Positive,20,5
69,9mg,4,2,Large,153.5,865.6,3.868929807,7.103749373,712.1,2,Normoxia,0.177333641,6,6,1,1,9,Normoxia acclimated,M,0.1,0.13,17,18,0.45,0.12,0.1,1.013,0.524,0.264,0.119,0.145,Negative,17,6
70,9mp,7,3,Large,152.3666667,865.6,3.745865946,7.288830456,713.2333333,1,Normoxia,0.176024338,NA,45,0,1,9,Normoxia acclimated,M,0.13,0.17,18,19,0.46,0.16,0.09,1.093,0.453,0.297,0.112,0.185,Negative,18,45
71,3fb,2,1,Random,151.5666667,865.6,3.442147322,7.311413138,714.0333333,3,Normoxia,0.175100123,NA,44,0,1,3,Hypoxia acclimated,F,0.22,0.58,21.5,26.5,1.67,0.45,0.36,1.123,0.327,0.352,0.109,0.243,Random,26,5
72,8fb,3,1,Large,151.5666667,865.6,3.230331317,7.548107264,714.0333333,2,Hypoxia,0.175100123,NA,NA,NA,NA,8,Hypoxia acclimated,F,0.21,0.35,21.5,25,0.88,0.34,0.26,0.724,0.16,0.218,0.049,0.169,Negative,22,NA
73,12mb,1,1,Small,151.5333333,865.6,3.866311415,7.529939388,714.0666667,1,Normoxia,0.175061614,NA,NA,NA,NA,12,Hypoxia acclimated,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Positive,NA,NA
74,12fg,6,2,Small,151.4,865.6,3.52676504,7.229826606,714.2,1,Normoxia,0.174907579,45,41,1,1,12,Hypoxia acclimated,F,0.11,0.44,17.5,24.5,2.39,0.37,0.58,1.049,0.212,0.32,0.067,0.253,Positive,18,41
75,4ml,5,2,Random,151.2666667,865.6,3.483507616,7.854259409,714.3333333,1,Recovery,0.174753543,6,5,1,1,4,Normoxia acclimated,M,0.11,0.13,17,18,0.29,0.12,0.1,NA,NA,NA,NA,NA,Random,17,5
76,9mg,4,2,Large,150.8,865.6,3.341366092,9.614918173,714.8,1,Normoxia,0.174214418,6,6,1,1,9,Normoxia acclimated,M,0.1,0.13,17,18,0.45,0.12,0.1,1.013,0.524,0.264,0.119,0.145,Negative,17,6
77,5ml,6,2,Small,149.4666667,865.6,3.80817868,6.753839378,716.1333333,1,Recovery,0.17267406,6,5,1,1,5,Hypoxia acclimated,M,0.1,0.12,16.5,18,0.31,0.12,0.15,NA,NA,NA,NA,NA,Positive,16,5
78,4fl,8,3,Random,148.0333333,865.6,3.875540698,7.700622754,717.5666667,1,Recovery,0.171018176,7,7,1,1,4,Normoxia acclimated,F,0.19,0.35,20,25,1.05,0.39,0.38,NA,NA,NA,NA,NA,Random,20,7
79,10fb,3,1,Large,147.3333333,865.6,3.249617099,7.042183755,718.2666667,1,Recovery,0.170209489,NA,7,0,1,10,Hypoxia acclimated,F,0.23,0.69,22,30.5,1.89,0.54,0.56,NA,NA,NA,NA,NA,Negative,22,7
80,9ml,4,2,Large,146.6666667,865.6,3.486338913,7.047120654,718.9333333,3,Normoxia,0.16943931,NA,NA,NA,NA,9,Normoxia acclimated,M,0.12,0.13,19,18.5,0.14,0.13,-0.05,0.957,0.513,0.252,0.12,0.132,Negative,18,NA
81,4fb,2,1,Random,145.2,865.6,3.545322897,7.301508744,720.4,1,Normoxia,0.167744917,NA,NA,NA,NA,4,Normoxia acclimated,F,0.16,0.52,20,26.5,2.03,0.3,0.49,0.767,0.302,0.227,0.09,0.137,Random,20,NA
82,12fl,6,2,Small,144.9333333,865.6,3.559842438,7.150834414,720.6666667,1,Normoxia,0.167436845,NA,27,0,1,12,Hypoxia acclimated,F,0.16,0.38,19,24,1.49,0.32,0.4,1.014,0.238,0.303,0.072,0.231,Positive,19,27
83,9fg,4,2,Large,143.5,865.6,2.645047869,7.614219117,722.1,2,Recovery,0.165780961,NA,NA,NA,NA,9,Normoxia acclimated,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Negative,NA,NA
84,6mg,6,2,Small,141.7333333,865.6,3.697760992,7.753736932,723.8666667,2,Recovery,0.163739988,NA,38,0,1,6,Normoxia acclimated,M,0.1,0.11,16,17,0.16,0.06,0.1,NA,NA,NA,NA,NA,Positive,16,38
85,1mb,2,1,Random,141.5666667,865.6,3.677470131,7.456543535,724.0333333,1,Recovery,0.163547443,NA,52,0,1,1,Hypoxia acclimated,M,0.1,0.12,16,18,0.31,0.11,0.2,NA,NA,NA,NA,NA,Random,16,52
86,2mb,1,1,Small,141.5333333,865.6,3.461554151,6.925383565,724.0666667,1,Recovery,0.163508934,7,6,1,1,2,Normoxia acclimated,M,0.05,0.07,15.5,16,0.58,0.09,0.05,NA,NA,NA,NA,NA,Positive,16,6
87,8fg,4,2,Large,140.5333333,865.6,2.910765736,9.893384805,725.0666667,3,Hypoxia,0.162353666,NA,4,0,1,8,Hypoxia acclimated,F,0.19,0.7,21,29.5,2.25,0.83,0.59,0.453,0.305,0.155,0.122,0.033,Negative,30,4
88,9ml,4,2,Large,139.3333333,865.6,3.574783236,6.287269456,726.2666667,3,Recovery,0.160967344,NA,NA,NA,NA,9,Normoxia acclimated,M,0.12,0.13,19,18.5,0.14,0.13,-0.05,NA,NA,NA,NA,NA,Negative,18,NA
89,9fl,7,3,Large,139.3,865.6,3.099027637,7.006996369,726.3,1,Normoxia,0.160928835,15,15,1,1,9,Normoxia acclimated,F,0.2,0.59,21,28,1.87,0.42,0.5,1.015,0.248,0.315,0.081,0.234,Negative,21,15
