Fish_ID,Aquarium,Acclimation,MMR_Hypoxic_mg/h/g,MMR_Normoxic__mg/h/g,SMR_Hypoxic__mg/h/g,SMR_Normoxic__mg/h/g,sex,Weight_start,Weight_end,Length_start,Length_end,SGR,Weight_resp,MMR_Hypoxic_scaled,MMR_Normoxic_scaled,SMR_Hypoxic_scaled,SMR_Normoxic_scaled,AS_H,AS_N,Harvested,Metric,Hypoxia,Normoxia,Recovery,NormoxiaDrop1,NormoxiaDrop2,NormoxiaDrop3,HypoxiaDrop4,HypoxiaDrop5,HypoxiaDrop6,RecoveryDrop7,RecoveryDrop8,RecoveryDrop9,ControlNormoxiaDrop1,ControlNormoxiaDrop2,ControlNormoxiaDrop3,ControlNormoxiaDrop4,ControlNormoxiaDrop5,ControlNormoxiaDrop6,ControlNormoxiaDrop7,ControlNormoxiaDrop8,ControlNormoxiaDrop9,ControlHypoxiaDrop1,ControlHypoxiaDrop2,ControlHypoxiaDrop3
10fb,10,Hypoxia acclimated,0.463,0.969,0.213,0.158,F,0.23,0.69,22,30.5,1.89,0.54,0.149,0.312,0.075,0.056,0.074,0.256,Large,Distance,703.678778133333,240.4436444,530.780786533333,120,400,NA,NA,NA,NA,NA,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10fb,10,Hypoxia acclimated,0.463,0.969,0.213,0.158,F,0.23,0.69,22,30.5,1.89,0.54,0.149,0.312,0.075,0.056,0.074,0.256,Large,Speed,8.042663256,6.461608838,6.83558045,120,400,NA,NA,NA,NA,NA,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10fb,10,Hypoxia acclimated,0.463,0.969,0.213,0.158,F,0.23,0.69,22,30.5,1.89,0.54,0.149,0.312,0.075,0.056,0.074,0.256,Large,Time,84.4555555433333,37.2111111,77.0555555433333,120,400,NA,NA,NA,NA,NA,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10fg,10,Hypoxia acclimated,0.409,0.865,0.158,0.046,F,0.16,0.54,20,27,2.1,0.38,0.125,0.265,0.05,0.015,0.075,0.25,Large,Distance,208.832165133333,136.724611266667,367.722199333333,80,1400,680,140,NA,NA,820,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10fg,10,Hypoxia acclimated,0.409,0.865,0.158,0.046,F,0.16,0.54,20,27,2.1,0.38,0.125,0.265,0.05,0.015,0.075,0.25,Large,Speed,6.96644118433333,9.135274695,7.252879556,80,1400,680,140,NA,NA,820,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10fg,10,Hypoxia acclimated,0.409,0.865,0.158,0.046,F,0.16,0.54,20,27,2.1,0.38,0.125,0.265,0.05,0.015,0.075,0.25,Large,Time,30.0555555533333,14.9666666666667,51.1222222233333,80,1400,680,140,NA,NA,820,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10fl,10,Hypoxia acclimated,0.52,0.88,0.214,0.272,F,0.21,0.87,21.5,29,2.45,0.55,0.168,0.284,0.076,0.096,0.092,0.188,Large,Distance,117.715486626667,92.9770186666667,214.008697133333,140,NA,NA,NA,140,NA,NA,NA,960,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10fl,10,Hypoxia acclimated,0.52,0.88,0.214,0.272,F,0.21,0.87,21.5,29,2.45,0.55,0.168,0.284,0.076,0.096,0.092,0.188,Large,Speed,NA,7.798631574,NA,140,NA,NA,NA,140,NA,NA,NA,960,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10fl,10,Hypoxia acclimated,0.52,0.88,0.214,0.272,F,0.21,0.87,21.5,29,2.45,0.55,0.168,0.284,0.076,0.096,0.092,0.188,Large,Time,10.722222221,11.9222222233333,21.8555555556667,140,NA,NA,NA,140,NA,NA,NA,960,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10fp,10,Hypoxia acclimated,0.457,1.008,0.145,0.048,F,0.23,0.6,21.5,27.5,1.65,0.43,0.142,0.314,0.048,0.016,0.094,0.298,Large,Distance,535.330740333333,125.499290933333,341.165206933333,NA,760,NA,1480,1100,1100,1260,620,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10fp,10,Hypoxia acclimated,0.457,1.008,0.145,0.048,F,0.23,0.6,21.5,27.5,1.65,0.43,0.142,0.314,0.048,0.016,0.094,0.298,Large,Speed,6.46328719033333,6.707206761,6.81642629566667,NA,760,NA,1480,1100,1100,1260,620,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10fp,10,Hypoxia acclimated,0.457,1.008,0.145,0.048,F,0.23,0.6,21.5,27.5,1.65,0.43,0.142,0.314,0.048,0.016,0.094,0.298,Large,Time,82.77777778,18.71111111,49.78888889,NA,760,NA,1480,1100,1100,1260,620,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10mb,10,Hypoxia acclimated,0.595,0.8,0.021,0.282,M,0.13,0.14,17.5,18.5,0.13,0.14,0.158,0.213,0.005,0.067,0.153,0.146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10mg,10,Hypoxia acclimated,0.707,1.102,0.004,0.203,M,0.16,0.19,18.5,20.5,0.3,0.16,0.192,0.299,0.001,0.05,0.191,0.249,Large,Distance,NA,49.4556184333333,117.606463653333,140,760,120,140,120,140,100,120,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10mg,10,Hypoxia acclimated,0.707,1.102,0.004,0.203,M,0.16,0.19,18.5,20.5,0.3,0.16,0.192,0.299,0.001,0.05,0.191,0.249,Large,Speed,NA,NA,NA,140,760,120,140,120,140,100,120,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10mg,10,Hypoxia acclimated,0.707,1.102,0.004,0.203,M,0.16,0.19,18.5,20.5,0.3,0.16,0.192,0.299,0.001,0.05,0.191,0.249,Large,Time,47.52222222,2.2,9.75555555433333,140,760,120,140,120,140,100,120,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10ml,10,Hypoxia acclimated,0.448,0.744,0.01,0.152,M,0.12,0.11,18,16.5,-0.15,0.13,0.118,0.196,0.002,0.035,0.116,0.161,Large,Distance,278.294430833333,7.03984812666667,189.17284946,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,160,140,120,140,120,120,120,140,NA,NA,NA
10ml,10,Hypoxia acclimated,0.448,0.744,0.01,0.152,M,0.12,0.11,18,16.5,-0.15,0.13,0.118,0.196,0.002,0.035,0.116,0.161,Large,Speed,6.94284243,6.2116307,7.97718996466667,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,160,140,120,140,120,120,120,140,NA,NA,NA
10ml,10,Hypoxia acclimated,0.448,0.744,0.01,0.152,M,0.12,0.11,18,16.5,-0.15,0.13,0.118,0.196,0.002,0.035,0.116,0.161,Large,Time,39.6777777766667,1.13333333333333,22.81111111,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,160,140,120,140,120,120,120,140,NA,NA,NA
10mp,10,Hypoxia acclimated,0.544,0.659,0.025,0.188,M,0.16,0.17,20,19.5,0.1,0.17,0.149,0.18,0.006,0.047,0.143,0.133,Large,Distance,385.916472566667,241.686917033333,328.2896537,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,120,0
10mp,10,Hypoxia acclimated,0.544,0.659,0.025,0.188,M,0.16,0.17,20,19.5,0.1,0.17,0.149,0.18,0.006,0.047,0.143,0.133,Large,Speed,6.82273658633333,7.129407582,7.48868967766667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,120,0
10mp,10,Hypoxia acclimated,0.544,0.659,0.025,0.188,M,0.16,0.17,20,19.5,0.1,0.17,0.149,0.18,0.006,0.047,0.143,0.133,Large,Time,56.4222222233333,33.9,42.3666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,120,0
11fb,11,Normoxia acclimated,0.579,1.276,0.205,0.429,F,0.21,0.19,20,21.5,-0.17,0.17,0.158,0.349,0.052,0.108,0.106,0.241,Random,Distance,17.6049923366667,237.030314766667,336.3755971,120,NA,NA,NA,NA,NA,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11fb,11,Normoxia acclimated,0.579,1.276,0.205,0.429,F,0.21,0.19,20,21.5,-0.17,0.17,0.158,0.349,0.052,0.108,0.106,0.241,Random,Speed,6.117564905,7.0635799215,7.13269224,120,NA,NA,NA,NA,NA,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11fb,11,Normoxia acclimated,0.579,1.276,0.205,0.429,F,0.21,0.19,20,21.5,-0.17,0.17,0.158,0.349,0.052,0.108,0.106,0.241,Random,Time,2.87777777766667,32.4777777766667,46.80000001,120,NA,NA,NA,NA,NA,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11fg,11,Normoxia acclimated,0.429,0.714,0.284,0.322,F,0.23,0.61,23,29,1.68,0.76,0.145,0.241,0.11,0.125,0.035,0.116,Random,Distance,158.040509133333,120.5049685,189.702228033333,160,100,980,120,340,1020,NA,120,1060,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11fg,11,Normoxia acclimated,0.429,0.714,0.284,0.322,F,0.23,0.61,23,29,1.68,0.76,0.145,0.241,0.11,0.125,0.035,0.116,Random,Speed,6.609500847,6.78233588,6.8437562915,160,100,980,120,340,1020,NA,120,1060,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11fg,11,Normoxia acclimated,0.429,0.714,0.284,0.322,F,0.23,0.61,23,29,1.68,0.76,0.145,0.241,0.11,0.125,0.035,0.116,Random,Time,23.91111111,17.9,27.4666666666667,160,100,980,120,340,1020,NA,120,1060,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11fl,11,Normoxia acclimated,0.528,0.485,0.326,0.218,F,0.18,0.58,20.5,18.5,2.02,0.58,0.172,0.158,0.117,0.078,0.055,0.08,Random,Distance,112.516352,312.625869133333,409.7251154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11fl,11,Normoxia acclimated,0.528,0.485,0.326,0.218,F,0.18,0.58,20.5,18.5,2.02,0.58,0.172,0.158,0.117,0.078,0.055,0.08,Random,Speed,6.545876974,6.5450007465,7.0052675665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11fl,11,Normoxia acclimated,0.528,0.485,0.326,0.218,F,0.18,0.58,20.5,18.5,2.02,0.58,0.172,0.158,0.117,0.078,0.055,0.08,Random,Time,17.18888889,47.6888888866667,58.1777777766667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11mb,11,Normoxia acclimated,1.095,1.727,0.274,0.686,M,0.1,0.08,16,16,-0.38,0.08,0.27,0.425,0.055,0.139,0.215,0.286,Random,Distance,29.0473957166667,150.668786566667,238.4902721,120,NA,NA,2280,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11mb,11,Normoxia acclimated,1.095,1.727,0.274,0.686,M,0.1,0.08,16,16,-0.38,0.08,0.27,0.425,0.055,0.139,0.215,0.286,Random,Speed,7.62176564,7.536744782,8.945881597,120,NA,NA,2280,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11mb,11,Normoxia acclimated,1.095,1.727,0.274,0.686,M,0.1,0.08,16,16,-0.38,0.08,0.27,0.425,0.055,0.139,0.215,0.286,Random,Time,3.81111111,21.62222222,26.6222222233333,120,NA,NA,2280,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11mg,11,Normoxia acclimated,1.119,1.298,0.363,0.524,M,0.1,0.12,17,17.5,0.31,0.12,0.292,0.338,0.083,0.119,0.209,0.219,Random,Distance,412.516881,325.358708866667,205.02626477,120,NA,380,620,820,1820,120,1320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11mg,11,Normoxia acclimated,1.119,1.298,0.363,0.524,M,0.1,0.12,17,17.5,0.31,0.12,0.292,0.338,0.083,0.119,0.209,0.219,Random,Speed,NA,7.599786989,10.4968020465,120,NA,380,620,820,1820,120,1320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11mg,11,Normoxia acclimated,1.119,1.298,0.363,0.524,M,0.1,0.12,17,17.5,0.31,0.12,0.292,0.338,0.083,0.119,0.209,0.219,Random,Time,10.6777777766667,42.8,25.1111111123333,120,NA,380,620,820,1820,120,1320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11ml,11,Normoxia acclimated,0.662,1.051,0.214,0.451,M,0.12,0.14,17,18,0.27,0.14,0.176,0.28,0.051,0.107,0.125,0.173,Random,Distance,80.8087521333333,259.583395933333,722.3908047,120,80,120,660,120,880,NA,680,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11ml,11,Normoxia acclimated,0.662,1.051,0.214,0.451,M,0.12,0.14,17,18,0.27,0.14,0.176,0.28,0.051,0.107,0.125,0.173,Random,Speed,7.054110275,8.5314246055,7.088844276,120,80,120,660,120,880,NA,680,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11ml,11,Normoxia acclimated,0.662,1.051,0.214,0.451,M,0.12,0.14,17,18,0.27,0.14,0.176,0.28,0.051,0.107,0.125,0.173,Random,Time,11.4555555566667,32.2,102.477777766667,120,80,120,660,120,880,NA,680,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11mp,11,Normoxia acclimated,1.164,1.531,0.312,0.495,M,0.11,0.12,17,17.5,0.15,0.12,0.303,0.399,0.071,0.113,0.232,0.286,Random,Distance,148.1142467,539.421261366667,474.0104189,120,NA,1320,120,720,80,100,NA,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11mp,11,Normoxia acclimated,1.164,1.531,0.312,0.495,M,0.11,0.12,17,17.5,0.15,0.12,0.303,0.399,0.071,0.113,0.232,0.286,Random,Speed,6.205904191,6.588711755,7.2018341565,120,NA,1320,120,720,80,100,NA,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11mp,11,Normoxia acclimated,1.164,1.531,0.312,0.495,M,0.11,0.12,17,17.5,0.15,0.12,0.303,0.399,0.071,0.113,0.232,0.286,Random,Time,23.8666666666667,81.8666666666667,65.9333333433333,120,NA,1320,120,720,80,100,NA,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12fb,12,Hypoxia acclimated,0.457,0.558,0.177,0.221,F,0.17,0.62,19.5,27,2.23,0.44,0.143,0.174,0.059,0.073,0.084,0.101,Small,Distance,98.1330827333333,473.610495966667,334.4388828,1280,120,540,120,100,600,NA,100,560,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12fb,12,Hypoxia acclimated,0.457,0.558,0.177,0.221,F,0.17,0.62,19.5,27,2.23,0.44,0.143,0.174,0.059,0.073,0.084,0.101,Small,Speed,7.378427274,7.85100785466667,10.4240919165,1280,120,540,120,100,600,NA,100,560,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
