Fish_ID,Beas_population_code,Population_old_code,Harvested,Sex,Weight_g,Length_mm,Weight_finished,Length_finished,Tank,Acclimation,Treatment,Trial,Distance_moved,Speed,Time_moving,TotalTime,Time_stationary,Percentage_moving,MMR_mghg,SMR_mghg,SGR,Weight_resp,MMR_scaled,SMR_scaled,AS,FSR,fastestFSR,Status,FastestStatus
10Fb,3,1,Large,F,0.23,22,0.69,30.5,10,H,Hypoxia,1,1049.707069,10.2277402,102.6333333,865.6,762.9666667,0,0.463,0.213,1.89,0.54,0.149,0.075,0.074,NA,NA,0,0
10Fg,3,1,Large,F,0.16,20,0.54,27,10,H,Hypoxia,1,199.8703383,6.440504995,31.03333333,865.6,834.5666667,0,0.409,0.158,2.1,0.38,0.125,0.05,0.075,7,7,1,1
10FL,4,2,Large,F,0.21,21.5,0.87,29,10,H,Hypoxia,1,99.64497151,6.346813472,15.7,865.6,849.9,0,NA,NA,NA,NA,NA,NA,NA,NA,7,0,1
10Fp,7,3,Large,F,0.23,21.5,0.6,27.5,10,H,Hypoxia,1,627.3292344,6.704623096,93.56666667,865.6,772.0333333,0,0.457,0.145,1.65,0.43,0.142,0.048,0.094,74,55,1,1
10Mg,4,2,Large,M,0.16,18.5,0.19,20.5,10,H,Hypoxia,1,29.21953873,14.60976937,2,865.6,863.6,0,0.707,0.004,0.3,0.16,0.192,0.001,0.191,7,6,1,1
10ML,4,2,Large,M,0.12,18,0.11,16.5,10,H,Hypoxia,1,105.89968,6.832237419,15.5,865.6,850.1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10Mp,7,3,Large,M,0.16,20,0.17,19.5,10,H,Hypoxia,1,369.1278504,7.457128291,49.5,865.6,816.1,0,0.544,0.025,0.1,0.17,0.149,0.006,0.143,NA,NA,NA,NA
11Fb,2,1,Random,F,0.21,20,0.19,21.5,11,N,Hypoxia,1,52.81497701,6.117564905,8.633333333,865.6,856.9666667,8.560536044,0.579,0.205,-0.17,0.17,0.158,0.052,0.106,NA,NA,0,0
11Fg,5,2,Random,F,0.23,23,0.61,29,11,N,Hypoxia,1,474.1215274,6.609500847,71.73333333,865.6,793.8666667,2.07948244,0.429,0.284,1.68,0.76,0.145,0.11,0.035,6,17,1,1
11FL,8,3,Random,F,0.18,20.5,0.58,18.5,11,N,Hypoxia,1,337.549056,6.545876974,51.56666667,865.6,814.0333333,9.280653112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11Fp,8,3,Random,F,0.21,21.5,0.18,21.5,11,N,Hypoxia,1,250.814909,6.611992329,37.93333333,865.6,827.6666667,8.845502157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11Mb,2,1,Random,M,0.1,16,0.08,16,11,N,Hypoxia,1,87.14218715,7.62176564,11.43333333,865.6,854.1666667,1.979359211,1.095,0.274,-0.38,0.08,0.27,0.055,0.215,114,114,1,1
11Mg,2,1,Random,M,0.1,17,0.12,17.5,11,N,Hypoxia,1,1237.550643,38.63321465,32.03333333,865.6,833.5666667,7.686383241,1.119,0.363,0.31,0.12,0.292,0.083,0.209,31,31,1,1
11ML,5,2,Random,M,0.12,17,0.14,18,11,N,Hypoxia,1,242.4262564,7.054110275,34.36666667,865.6,831.2333333,7.081792976,NA,NA,NA,NA,NA,NA,NA,33,33,1,1
11Mp,8,3,Random,M,0.11,17,0.12,17.5,11,N,Hypoxia,1,444.3427401,6.205904191,71.6,865.6,794,13.59750462,1.164,0.312,0.15,0.12,0.303,0.071,0.232,6,36,1,1
12Fb,1,1,Small,F,0.17,19.5,0.62,27,12,H,Hypoxia,1,0,NA,0,892.7333333,892.7333333,14.8952557,0.457,0.177,2.23,0.44,0.143,0.059,0.084,6,30,1,1
12Fg,6,2,Small,F,0.11,17.5,0.44,24.5,12,H,Hypoxia,1,0,NA,0,892.7333333,892.7333333,17.49075786,0.554,0.146,2.39,0.37,0.169,0.046,0.123,50,33,1,1
12FL,6,2,Small,F,0.16,19,0.38,24,12,H,Hypoxia,1,0,NA,0,892.7333333,892.7333333,16.74368453,NA,NA,NA,NA,NA,NA,NA,6,4,1,1
12Fp,9,3,Small,F,0.17,19.5,0.43,25,12,H,Hypoxia,1,0,NA,0,892.7333333,892.7333333,12.38832409,0.509,0.113,1.6,0.37,0.155,0.036,0.119,5,4,1,1
12Mb,1,1,Small,M,0.08,17,0.09,15.5,12,H,Hypoxia,1,0,NA,0,892.7333333,892.7333333,17.50616143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12Mg,6,2,Small,M,0.07,15,0.07,15,12,H,Hypoxia,1,0,NA,0,892.7333333,892.7333333,11.62969809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12ML,9,3,Small,M,0.12,18,0.14,18.5,12,H,Hypoxia,1,0,NA,0,892.7333333,892.7333333,11.02125693,NA,NA,NA,NA,NA,NA,NA,4,3,1,1
12Mp,9,3,Small,M,0.08,16,0.09,16.5,12,H,Hypoxia,1,0,NA,0,892.7333333,892.7333333,11.84149723,0.422,0.1,0.2,0.09,0.106,0.021,0.085,NA,51,1,1
1Fb,2,1,Random,F,0.16,19,0.3,22,1,H,Hypoxia,1,523.3516257,6.735542158,77.7,865.6,787.9,7.886629698,0.619,0.219,1.08,0.28,0.182,0.064,0.118,10,10,1,1
