Fish_ID,Aquarium,Acclimation,sex,Weight_start,Weight_end,Length_start,Length_end,SGR,Weight_resp,SGR_length,Treatment,MMR_mghg,SMR_mghg,MMR_scaled,SMR_scaled,AS
10fb,10,Hypoxia acclimated,F,0.23,0.69,22,30.5,1.89,0.54,0.56,Hypoxia,0.463,0.213,0.149,0.075,0.074
10fb,10,Hypoxia acclimated,F,0.23,0.69,22,30.5,1.89,0.54,0.56,Normoxia,0.969,0.158,0.312,0.056,0.256
10fg,10,Hypoxia acclimated,F,0.16,0.54,20,27,2.1,0.38,0.52,Hypoxia,0.409,0.158,0.125,0.05,0.075
10fg,10,Hypoxia acclimated,F,0.16,0.54,20,27,2.1,0.38,0.52,Normoxia,0.865,0.046,0.265,0.015,0.25
10fl,10,Hypoxia acclimated,F,0.21,0.87,21.5,29,2.45,0.55,0.52,Hypoxia,0.52,0.214,0.168,0.076,0.092
10fl,10,Hypoxia acclimated,F,0.21,0.87,21.5,29,2.45,0.55,0.52,Normoxia,0.88,0.272,0.284,0.096,0.188
10fp,10,Hypoxia acclimated,F,0.23,0.6,21.5,27.5,1.65,0.43,0.42,Hypoxia,0.457,0.145,0.142,0.048,0.094
10fp,10,Hypoxia acclimated,F,0.23,0.6,21.5,27.5,1.65,0.43,0.42,Normoxia,1.008,0.048,0.314,0.016,0.298
10mb,10,Hypoxia acclimated,M,0.13,0.14,17.5,18.5,0.13,0.14,0.1,Hypoxia,0.595,0.021,0.158,0.005,0.153
10mb,10,Hypoxia acclimated,M,0.13,0.14,17.5,18.5,0.13,0.14,0.1,Normoxia,0.8,0.282,0.213,0.067,0.146
10mg,10,Hypoxia acclimated,M,0.16,0.19,18.5,20.5,0.3,0.16,0.18,Hypoxia,0.707,0.004,0.192,0.001,0.191
10mg,10,Hypoxia acclimated,M,0.16,0.19,18.5,20.5,0.3,0.16,0.18,Normoxia,1.102,0.203,0.299,0.05,0.249
10ml,10,Hypoxia acclimated,M,0.12,0.11,18,16.5,-0.15,0.13,-0.15,Hypoxia,0.448,0.01,0.118,0.002,0.116
10ml,10,Hypoxia acclimated,M,0.12,0.11,18,16.5,-0.15,0.13,-0.15,Normoxia,0.744,0.152,0.196,0.035,0.161
10mp,10,Hypoxia acclimated,M,0.16,0.17,20,19.5,0.1,0.17,-0.04,Hypoxia,0.544,0.025,0.149,0.006,0.143
10mp,10,Hypoxia acclimated,M,0.16,0.17,20,19.5,0.1,0.17,-0.04,Normoxia,0.659,0.188,0.18,0.047,0.133
11fb,11,Normoxia acclimated,F,0.21,0.19,20,21.5,-0.17,0.17,0.12,Hypoxia,0.579,0.205,0.158,0.052,0.106
11fb,11,Normoxia acclimated,F,0.21,0.19,20,21.5,-0.17,0.17,0.12,Normoxia,1.276,0.429,0.349,0.108,0.241
11fg,11,Normoxia acclimated,F,0.23,0.61,23,29,1.68,0.76,0.4,Hypoxia,0.429,0.284,0.145,0.11,0.035
11fg,11,Normoxia acclimated,F,0.23,0.61,23,29,1.68,0.76,0.4,Normoxia,0.714,0.322,0.241,0.125,0.116
11fl,11,Normoxia acclimated,F,0.18,0.58,20.5,18.5,2.02,0.58,-0.18,Hypoxia,0.528,0.326,0.172,0.117,0.055
11fl,11,Normoxia acclimated,F,0.18,0.58,20.5,18.5,2.02,0.58,-0.18,Normoxia,0.485,0.218,0.158,0.078,0.08
11mb,11,Normoxia acclimated,M,0.1,0.08,16,16,-0.38,0.08,0,Hypoxia,1.095,0.274,0.27,0.055,0.215
11mb,11,Normoxia acclimated,M,0.1,0.08,16,16,-0.38,0.08,0,Normoxia,1.727,0.686,0.425,0.139,0.286
11mg,11,Normoxia acclimated,M,0.1,0.12,17,17.5,0.31,0.12,0.05,Hypoxia,1.119,0.363,0.292,0.083,0.209
11mg,11,Normoxia acclimated,M,0.1,0.12,17,17.5,0.31,0.12,0.05,Normoxia,1.298,0.524,0.338,0.119,0.219
11ml,11,Normoxia acclimated,M,0.12,0.14,17,18,0.27,0.14,0.1,Hypoxia,0.662,0.214,0.176,0.051,0.125
11ml,11,Normoxia acclimated,M,0.12,0.14,17,18,0.27,0.14,0.1,Normoxia,1.051,0.451,0.28,0.107,0.173
11mp,11,Normoxia acclimated,M,0.11,0.12,17,17.5,0.15,0.12,0.05,Hypoxia,1.164,0.312,0.303,0.071,0.232
11mp,11,Normoxia acclimated,M,0.11,0.12,17,17.5,0.15,0.12,0.05,Normoxia,1.531,0.495,0.399,0.113,0.286
12fb,12,Hypoxia acclimated,F,0.17,0.62,19.5,27,2.23,0.44,0.56,Hypoxia,0.457,0.177,0.143,0.059,0.084
12fb,12,Hypoxia acclimated,F,0.17,0.62,19.5,27,2.23,0.44,0.56,Normoxia,0.558,0.221,0.174,0.073,0.101
12fg,12,Hypoxia acclimated,F,0.11,0.44,17.5,24.5,2.39,0.37,0.58,Hypoxia,0.554,0.146,0.169,0.046,0.123
12fg,12,Hypoxia acclimated,F,0.11,0.44,17.5,24.5,2.39,0.37,0.58,Normoxia,1.049,0.212,0.32,0.067,0.253
12fl,12,Hypoxia acclimated,F,0.16,0.38,19,24,1.49,0.32,0.4,Hypoxia,0.582,0.169,0.174,0.051,0.123
12fl,12,Hypoxia acclimated,F,0.16,0.38,19,24,1.49,0.32,0.4,Normoxia,1.014,0.238,0.303,0.072,0.231
12fp,12,Hypoxia acclimated,F,0.17,0.43,19.5,25,1.6,0.37,0.43,Hypoxia,0.509,0.113,0.155,0.036,0.119
12fp,12,Hypoxia acclimated,F,0.17,0.43,19.5,25,1.6,0.37,0.43,Normoxia,0.81,0.196,0.247,0.062,0.185
12ml,12,Hypoxia acclimated,M,0.12,0.14,18,18.5,0.27,0.13,0.05,Hypoxia,0.741,0.072,0.195,0.017,0.178
12ml,12,Hypoxia acclimated,M,0.12,0.14,18,18.5,0.27,0.13,0.05,Normoxia,1.118,0.309,0.295,0.072,0.223
12mp,12,Hypoxia acclimated,M,0.08,0.09,16,16.5,0.2,0.09,0.05,Hypoxia,0.422,0.1,0.106,0.021,0.085
12mp,12,Hypoxia acclimated,M,0.08,0.09,16,16.5,0.2,0.09,0.05,Normoxia,0.857,0.254,0.214,0.053,0.161
1fb,1,Hypoxia acclimated,F,0.16,0.3,19,22,1.08,0.28,0.25,Hypoxia,0.619,0.219,0.182,0.064,0.118
1fb,1,Hypoxia acclimated,F,0.16,0.3,19,22,1.08,0.28,0.25,Normoxia,0.528,0.305,0.155,0.089,0.066
1fg,1,Hypoxia acclimated,F,0.23,0.45,20.5,25.5,1.16,0.41,0.38,Hypoxia,0.628,0.172,0.194,0.056,0.138
1fg,1,Hypoxia acclimated,F,0.23,0.45,20.5,25.5,1.16,0.41,0.38,Normoxia,1.035,0.272,0.32,0.088,0.232
1fl,1,Hypoxia acclimated,F,0.24,0.57,22.5,28.5,1.49,0.52,0.41,Hypoxia,0.641,0.087,0.205,0.03,0.175
1fl,1,Hypoxia acclimated,F,0.24,0.57,22.5,28.5,1.49,0.52,0.41,Normoxia,0.769,0.149,0.246,0.052,0.194
1fp,1,Hypoxia acclimated,F,0.19,0.2,20.5,21.5,0.09,0.19,0.08,Hypoxia,0.881,0.175,0.245,0.046,0.199
1fp,1,Hypoxia acclimated,F,0.19,0.2,20.5,21.5,0.09,0.19,0.08,Normoxia,1.255,0.351,0.349,0.091,0.258
1mb,1,Hypoxia acclimated,M,0.1,0.12,16,18,0.31,0.11,0.2,Hypoxia,1.234,0.268,0.318,0.059,0.259
1mb,1,Hypoxia acclimated,M,0.1,0.12,16,18,0.31,0.11,0.2,Normoxia,1.097,0.533,0.282,0.118,0.164
1mg,1,Hypoxia acclimated,M,0.14,0.17,18.5,19,0.33,0.15,0.05,Hypoxia,0.744,0.256,0.2,0.062,0.138
1mg,1,Hypoxia acclimated,M,0.14,0.17,18.5,19,0.33,0.15,0.05,Normoxia,0.724,0.478,0.195,0.116,0.079
1ml,1,Hypoxia acclimated,M,0.13,0.14,17.5,18.5,0.13,0.12,0.1,Hypoxia,1.227,0.328,0.32,0.075,0.245
1ml,1,Hypoxia acclimated,M,0.13,0.14,17.5,18.5,0.13,0.12,0.1,Normoxia,1.214,0.505,0.316,0.115,0.201
1mp,1,Hypoxia acclimated,M,0.13,0.16,19.5,19.5,0.36,0.16,0,Hypoxia,1.319,0.288,0.358,0.071,0.287
1mp,1,Hypoxia acclimated,M,0.13,0.16,19.5,19.5,0.36,0.16,0,Normoxia,1.155,0.481,0.313,0.119,0.194
2fb,2,Normoxia acclimated,F,0.17,0.72,19,30,2.49,0.44,0.79,Hypoxia,0.642,0.167,0.201,0.055,0.146
2fb,2,Normoxia acclimated,F,0.17,0.72,19,30,2.49,0.44,0.79,Normoxia,1.306,0.253,0.408,0.084,0.324
2fg,2,Normoxia acclimated,F,0.12,0.34,18.5,23,1.8,0.25,0.38,Hypoxia,0.379,0.195,0.109,0.055,0.054
2fg,2,Normoxia acclimated,F,0.12,0.34,18.5,23,1.8,0.25,0.38,Normoxia,1.129,0.195,0.326,0.055,0.271
2fl,2,Normoxia acclimated,F,0.29,0.54,23.5,27.5,1.07,0.51,0.27,Hypoxia,0.402,0.227,0.128,0.079,0.049
2fl,2,Normoxia acclimated,F,0.29,0.54,23.5,27.5,1.07,0.51,0.27,Normoxia,0.899,0.208,0.287,0.072,0.215
2fp,2,Normoxia acclimated,F,0.3,0.58,23.5,28.5,1.14,0.43,0.33,Hypoxia,0.557,0.171,0.174,0.056,0.118
2fp,2,Normoxia acclimated,F,0.3,0.58,23.5,28.5,1.14,0.43,0.33,Normoxia,0.92,0.215,0.287,0.071,0.216
2mb,2,Normoxia acclimated,M,0.05,0.07,15.5,16,0.58,0.09,0.05,Hypoxia,0.175,0.15,0.044,0.031,0.013
2mb,2,Normoxia acclimated,M,0.05,0.07,15.5,16,0.58,0.09,0.05,Normoxia,0.595,0.111,0.149,0.023,0.126
2mg,2,Normoxia acclimated,M,0.06,0.07,15.5,15.5,0.27,0.07,0,Hypoxia,0.271,0.295,0.065,0.057,0.008
2mg,2,Normoxia acclimated,M,0.06,0.07,15.5,15.5,0.27,0.07,0,Normoxia,1.384,0.292,0.334,0.057,0.277
2ml,2,Normoxia acclimated,M,0.09,0.1,15.5,17.5,0.18,0.14,0.21,Hypoxia,0.305,0.001,0.081,0,0.081
2ml,2,Normoxia acclimated,M,0.09,0.1,15.5,17.5,0.18,0.14,0.21,Normoxia,0.78,0.224,0.208,0.053,0.155
2mp,2,Normoxia acclimated,M,0.12,0.13,17,18,0.14,0.13,0.1,Hypoxia,0.545,0.027,0.144,0.006,0.138
2mp,2,Normoxia acclimated,M,0.12,0.13,17,18,0.14,0.13,0.1,Normoxia,0.969,0.291,0.255,0.068,0.187
3fb,3,Hypoxia acclimated,F,0.22,0.58,21.5,26.5,1.67,0.45,0.36,Hypoxia,0.641,0.286,0.201,0.096,0.105
3fb,3,Hypoxia acclimated,F,0.22,0.58,21.5,26.5,1.67,0.45,0.36,Normoxia,1.123,0.327,0.352,0.109,0.243
3fg,3,Hypoxia acclimated,F,0.3,0.82,23.5,30,1.73,0.93,0.42,Hypoxia,0.381,0.213,0.132,0.088,0.044
3fg,3,Hypoxia acclimated,F,0.3,0.82,23.5,30,1.73,0.93,0.42,Normoxia,0.657,0.254,0.228,0.105,0.123
3fl,3,Hypoxia acclimated,F,0.22,0.69,21.5,27.5,1.97,0.72,0.42,Hypoxia,0.482,0.244,0.161,0.093,0.068
3fl,3,Hypoxia acclimated,F,0.22,0.69,21.5,27.5,1.97,0.72,0.42,Normoxia,0.897,0.283,0.3,0.108,0.192
3fp,3,Hypoxia acclimated,F,0.18,0.25,20.5,23,0.57,0.29,0.2,Hypoxia,0.54,0.175,0.159,0.051,0.108
3fp,3,Hypoxia acclimated,F,0.18,0.25,20.5,23,0.57,0.29,0.2,Normoxia,1.215,0.291,0.358,0.086,0.272
3mg,3,Hypoxia acclimated,M,0.11,0.12,18,18,0.15,0.12,0,Hypoxia,0.341,0.442,0.089,0.101,-0.012
3mg,3,Hypoxia acclimated,M,0.11,0.12,18,18,0.15,0.12,0,Normoxia,0.798,0.548,0.208,0.125,0.083
3ml,3,Hypoxia acclimated,M,0.12,0.12,17.5,18,0,0.11,0.05,Hypoxia,0.755,0.292,0.194,0.065,0.129
3ml,3,Hypoxia acclimated,M,0.12,0.12,17.5,18,0,0.11,0.05,Normoxia,1.197,0.572,0.308,0.127,0.181
3mp,3,Hypoxia acclimated,M,0.15,0.16,18.5,19,0.11,0.16,0.05,Hypoxia,0.564,0.079,0.153,0.02,0.133
3mp,3,Hypoxia acclimated,M,0.15,0.16,18.5,19,0.11,0.16,0.05,Normoxia,1.162,0.4,0.315,0.099,0.216
4fb,4,Normoxia acclimated,F,0.16,0.52,20,26.5,2.03,0.3,0.49,Hypoxia,NA,0.221,NA,0.066,NA
4fb,4,Normoxia acclimated,F,0.16,0.52,20,26.5,2.03,0.3,0.49,Normoxia,0.767,0.302,0.227,0.09,0.137
4fg,4,Normoxia acclimated,F,0.23,0.8,22,30.5,2.15,0.72,0.56,Hypoxia,0.461,0.283,0.154,0.108,0.046
